gene	logFCInfectedvsMock24	logFCInfected12vs4	logFCInfected24vs4	DEInfectedvsMock24	DEInfected12vs4	DEInfected24vs4
NCALD	6.62200448782576	5.71466451276229	7.73263259702384	TRUE	TRUE	TRUE
AC136475.2	6.61135538824337	0.790190809715233	2.11937046796377	TRUE	FALSE	FALSE
ABCA9	6.57814477556078	-1.01119742321254	3.66205628541937	TRUE	FALSE	FALSE
AC090541.1	6.54946442141685	4.8132055390799	6.08601679580063	TRUE	FALSE	TRUE
AC011466.3	6.54946442141685	1.43059833570194	6.08913821212749	TRUE	FALSE	TRUE
PDCD1LG2	6.51929358501779	4.00723320969511	6.05349369388187	TRUE	FALSE	TRUE
TNFRSF8	6.51699285662043	2.41143482394817	4.59514843261149	TRUE	FALSE	TRUE
CNKSR2	6.51699285662043	0.00406046345809956	4.62457540965826	TRUE	FALSE	FALSE
HTR3E	6.48336089178617	2.84127920208304	6.01306640671266	TRUE	FALSE	TRUE
AC015849.1	6.44463150426748	2.7366884526843	6.98847230222147	TRUE	FALSE	TRUE
OLFM3	6.43208631701869	1.43060164275919	7.41832318432146	TRUE	FALSE	TRUE
MIR100HG	6.41975158424549	3.13436875786957	4.36607880884259	TRUE	TRUE	TRUE
AC083837.1	6.4184605777966	6.54338630888171	6.93787165631624	TRUE	TRUE	TRUE
CACNA1I	6.39488355354775	4.59356103846477	5.9104892827457	TRUE	TRUE	TRUE
IL6	6.38956134960138	3.57666246964483	3.74314931975497	TRUE	TRUE	TRUE
RIPOR2	6.38637359277565	4.13482577524319	6.77345440402305	TRUE	TRUE	TRUE
NR4A3	6.36814241335596	4.26095770207028	5.59615950088709	TRUE	TRUE	TRUE
NAPSB	6.35480487215546	5.34949034790597	6.89321895798383	TRUE	TRUE	TRUE
AC005622.1	6.26981046793689	2.41367803886278	5.80079565435962	TRUE	FALSE	TRUE
AC005865.1	6.22380562177504	2.6942250783501	4.75903237195473	TRUE	FALSE	TRUE
DNAH17	6.1944009039256	2.71986258843909	3.59642471856032	TRUE	TRUE	TRUE
AC008957.3	6.13444898743178	4.90446864112752	5.68763952265175	TRUE	FALSE	TRUE
DPYSL4	6.13085681366781	3.43474906252545	5.67084231586971	TRUE	FALSE	TRUE
ETV7	6.12839212305014	5.88186479726122	5.75356113633004	TRUE	TRUE	TRUE
NPTX1	6.11593767798443	1.51809210383308	3.31924703559348	TRUE	FALSE	TRUE
SLC30A3	6.09883703585243	2.81142065542865	4.6295189987958	TRUE	FALSE	TRUE
NGFR	6.05355766562851	2.562873586422	3.59482579214034	TRUE	FALSE	TRUE
IFNL3P1	6.0526139661967	5.51800876998378	6.44056670818806	TRUE	TRUE	TRUE
LRP2	6.05014419223247	3.90245535813619	5.32556025300762	TRUE	TRUE	TRUE
BOC	6.03639198117868	5.17219625691189	7.02181484146399	TRUE	FALSE	TRUE
TTN	6.03261563822123	0.799333052120267	2.97587061346877	TRUE	FALSE	TRUE
AC132217.1	6.02892657301309	5.17336998399078	8.0040981630425	TRUE	TRUE	TRUE
ATF3	6.02179782384072	4.56572599180303	5.24260365834715	TRUE	TRUE	TRUE
IGHE	5.99882269676189	3.79974459840967	6.96530767584413	TRUE	FALSE	TRUE
GATA4	5.99618670355138	1.71228248170439	5.12448904081051	TRUE	FALSE	TRUE
BISPR	5.98114119328008	6.62789130043432	7.97353374238892	TRUE	TRUE	TRUE
RSAD2	5.90862690718961	5.38216596131387	5.62932200797577	TRUE	TRUE	TRUE
INS-IGF2	5.90641219707705	4.57311581428835	7.0326190302203	TRUE	TRUE	TRUE
SLC15A3	5.89469877550049	3.83671883184534	5.33591421979297	TRUE	TRUE	TRUE
GBP1P1	5.89232005674719	6.25056590585472	6.27504418784758	TRUE	TRUE	TRUE
PPP1R15A	5.88224191074519	2.82167608021771	4.22998817575201	TRUE	TRUE	TRUE
IFIT3	5.84158913148332	5.21332144209266	6.06962470288066	TRUE	TRUE	TRUE
TRIM22	5.82189221555837	5.21376281482301	5.92542109767619	TRUE	TRUE	TRUE
AC119674.1	5.81866852029545	3.79402014233433	6.81172852375015	TRUE	FALSE	TRUE
BST2	5.80997735632249	3.19320820068612	5.55913989606735	TRUE	TRUE	TRUE
AC007728.2	5.77875971213871	4.82027445969349	6.76499767656755	TRUE	FALSE	TRUE
RARRES2	-5.77071325487151	-0.425961482829643	-5.17466403968591	TRUE	FALSE	TRUE
TAAR3P	5.76653092328939	3.20056532129063	5.61457862100289	TRUE	TRUE	TRUE
RAET1L	5.75028846486036	2.58346147611379	3.63151574075409	TRUE	TRUE	TRUE
CFAP57	5.73483306851744	2.29198579326406	4.6859415482777	TRUE	TRUE	TRUE
GBP4	5.69336593259325	6.65333293814123	6.99526555553069	TRUE	TRUE	TRUE
GRM8	5.69048862667306	-0.193268087317092	3.6179954848936	TRUE	FALSE	TRUE
MIR155HG	5.6733464808785	4.03337795413288	4.4280575116237	TRUE	TRUE	TRUE
TNFRSF9	5.63127114544297	4.8603666820124	5.90025840945292	TRUE	TRUE	TRUE
OASL	5.61653698231246	5.24256778075681	6.35653020824194	TRUE	TRUE	TRUE
SIDT1	5.57877805014519	5.50100907738881	5.12853521018615	TRUE	TRUE	TRUE
CFAP54	5.57471603867391	3.12017501457719	5.94663279587222	TRUE	TRUE	TRUE
ZFPM2	5.56731716470066	3.73801413260037	6.12487930511565	TRUE	FALSE	TRUE
PTGER2	5.56356538544362	3.25490225180759	4.66482251592792	TRUE	TRUE	TRUE
BAHCC1	5.55318794092651	4.20969197562537	4.67570766259593	TRUE	TRUE	TRUE
KLF4	5.54096333148501	2.26948901643364	3.84792921416184	TRUE	TRUE	TRUE
AL031777.1	5.53868010327916	3.2483581303803	3.48489284495919	TRUE	FALSE	TRUE
UNC13A	5.51416426818172	-1.37275237077985	2.23468825900206	TRUE	FALSE	FALSE
RET	5.50852590899453	4.43645730618758	6.02606997012016	TRUE	TRUE	TRUE
SH2D1B	5.48319413938709	1.42819804692164	3.00911489710993	TRUE	FALSE	TRUE
PAK3	5.43290244371999	2.11453488223603	4.36624971061294	TRUE	FALSE	TRUE
TCF3P1	5.41427263932178	4.39182507627279	4.95009950233383	TRUE	FALSE	TRUE
MMP13	5.38033056098755	4.35638748804554	4.89655861746631	TRUE	FALSE	TRUE
MT2A	5.37829781134572	2.08209871290353	3.06363000589424	TRUE	TRUE	TRUE
RUFY4	5.35333424721167	4.43527743464508	5.49473606241559	TRUE	TRUE	TRUE
RFPL2	5.30523232540447	0.413504531101918	4.81242964194987	TRUE	FALSE	TRUE
LURAP1L-AS1	5.29856504955474	2.96750736179689	4.81567357791573	TRUE	FALSE	TRUE
IL1A	5.29268506621111	3.50824590274206	3.98799386274683	TRUE	TRUE	TRUE
LTA	5.29143950735414	1.40268098718949	5.81624562462021	TRUE	FALSE	TRUE
CEACAM20	5.27767996924759	2.47004588777837	3.86628263017589	TRUE	FALSE	TRUE
APOL3	5.27690021073465	4.45442035287422	5.89373630088076	TRUE	TRUE	TRUE
NEU4	5.26042935201166	2.41408433850941	6.36370471152715	TRUE	FALSE	TRUE
CREG2	-5.24478679786104	-1.03803170160276	-5.81272440973567	TRUE	FALSE	TRUE
KLHDC7B	5.24140709707764	2.25737822162574	3.79378667709557	TRUE	TRUE	TRUE
BX276092.7	5.24097532792225	2.90057654851249	6.20893786724824	TRUE	FALSE	TRUE
AC004870.2	-5.2300659773653	-3.4423380773103	-4.97322396555817	TRUE	FALSE	TRUE
EXOC3L1	5.20146314984819	6.09243314560973	5.31917446302622	TRUE	TRUE	TRUE
SYNPO2	5.18391684721293	3.52238871437093	5.31157699098957	TRUE	TRUE	TRUE
CD38	5.1740335946931	3.12321757641757	4.41409179648852	TRUE	TRUE	TRUE
ABCC9	5.1498926014049	2.79893697849578	4.68568396595659	TRUE	FALSE	TRUE
RN7SL368P	5.14988597200773	5.25328993200861	4.67453015179878	TRUE	FALSE	TRUE
CD274	5.14304760564309	3.37938168317089	3.26143683694329	TRUE	TRUE	TRUE
AC073072.1	5.11839084095083	1.09406294031662	2.30676245005233	TRUE	FALSE	FALSE
U62317.4	5.11839084095083	2.90312605349842	6.08803379162152	TRUE	FALSE	TRUE
HLA-V	5.11019777451926	2.85922102313943	3.91041895035443	TRUE	TRUE	TRUE
ACNATP	5.09603272328016	4.42071866346663	6.08644483719879	TRUE	FALSE	TRUE
KIAA0408	5.08679288402395	1.87861503265762	1.15726490052306	TRUE	FALSE	FALSE
DUSP15	5.08115168227301	2.18422693929995	4.23170708887235	TRUE	FALSE	TRUE
JAKMIP3	5.06967394490523	4.01531682338191	6.61008499031828	TRUE	FALSE	TRUE
AC084816.1	5.06110583121922	2.84986138815459	7.04346889149363	TRUE	FALSE	TRUE
HMCN1	5.03045098687156	4.49392443886565	6.01581368072632	TRUE	FALSE	TRUE
